time,aX,aY,aZ,gX,gY,gZ
13742, -0.55, 0.19, 0.76, 14.10, -9.64, -1.53
13846, -0.35, 0.18, 0.87, -20.08, -59.14, 15.14
13950, -0.49, 0.12, 0.84, -0.24, -3.72, -5.25
14054, -0.45, 0.20, 0.86, -2.56, -10.86, -3.17
14157, -0.46, 0.18, 0.86, 1.59, -4.46, -1.71
14261, -0.45, 0.17, 0.86, 1.34, -4.27, -1.53
14365, -0.45, 0.18, 0.86, 2.56, -3.66, -0.67
14469, -0.45, 0.18, 0.85, 2.62, -3.48, -0.79
14573, -0.45, 0.18, 0.85, 2.56, -3.54, -0.85
14676, -0.45, 0.18, 0.85, 2.93, -3.36, -0.61
14780, -0.45, 0.18, 0.86, 2.69, -3.42, -0.61
14884, -0.45, 0.18, 0.86, 2.50, -3.72, -0.67
14988, -0.45, 0.18, 0.85, 2.56, -3.66, -0.73
15092, -0.45, 0.18, 0.85, 2.69, -3.54, -0.67
15195, -0.45, 0.18, 0.86, 2.56, -3.54, -0.73
15299, -0.45, 0.18, 0.86, 2.75, -3.54, -0.67
15403, -0.45, 0.18, 0.86, 2.44, -3.60, -0.85
15507, -0.45, 0.18, 0.86, 2.44, -3.72, -0.85
15611, -0.45, 0.18, 0.86, 2.50, -3.60, -0.98
15715, -0.45, 0.18, 0.86, 2.56, -3.54, -0.85
15818, -0.45, 0.18, 0.86, 2.62, -3.60, -0.73
15922, -0.45, 0.18, 0.86, 2.62, -3.54, -0.73
16026, -0.45, 0.18, 0.86, 2.50, -3.72, -0.85
16130, -0.45, 0.18, 0.86, 2.75, -3.42, -0.55
16234, -0.45, 0.18, 0.86, 3.66, -2.62, 0.18
16337, -0.46, 0.18, 0.86, 5.62, -0.79, 0.85
16441, -0.46, 0.20, 0.85, 7.45, 2.50, 2.62
16545, -0.48, 0.24, 0.85, 16.11, 24.66, 1.53
16649, -0.81, 0.15, 0.95, -5.31, 50.78, 0.92
16753, -0.61, 0.30, 0.89, 6.41, 16.97, -30.03
16857, -0.76, 0.23, 0.85, 10.07, 8.73, -21.18
16960, -0.74, 0.19, 0.72, 11.05, 9.28, -19.04
17064, -0.73, 0.18, 0.65, 6.10, 5.19, -7.20
17168, -0.70, 0.11, 0.63, 3.85, 0.43, -8.73
17272, -0.67, 0.14, 0.60, -8.48, 1.16, 4.33
17376, -0.69, 0.12, 0.58, -0.24, -10.80, -1.95
17479, -0.67, 0.11, 0.59, -9.40, -2.38, 8.97
17583, -0.70, 0.13, 0.65, -10.68, -2.08, 4.03
17687, -0.70, 0.17, 0.66, -6.47, -6.23, 5.86
17791, -0.74, 0.21, 0.63, -5.92, -7.32, 9.46
17895, -0.65, 0.11, 0.61, 10.01, -5.00, -3.60
17998, -0.53, 0.07, 0.65, 7.81, -4.21, -7.32
18102, -0.68, 0.13, 0.71, -1.71, -8.42, -2.87
18206, -0.71, 0.15, 0.64, 5.98, -5.19, 1.83
18310, -0.72, 0.10, 0.66, 8.36, 0.92, 4.39
18414, -0.64, 0.19, 0.65, 10.62, -0.43, -7.63
18518, -0.67, 0.19, 0.68, 4.82, -4.09, -3.85
18621, -0.66, 0.09, 0.65, 6.35, -7.81, 0.06
18725, -0.73, 0.09, 0.70, 4.27, -5.00, 3.48
18829, -0.65, 0.16, 0.65, 3.72, -5.74, 2.81
18933, -0.58, 0.19, 0.64, 10.01, -13.18, 3.54
19037, -0.66, 0.11, 0.68, 4.82, -18.01, 9.03
19140, -0.67, 0.17, 0.70, 5.13, -16.91, 5.74
19244, -0.61, 0.24, 0.75, -9.40, -18.49, 11.90
19348, -0.59, 0.21, 0.78, -4.27, -18.98, 9.34
19452, -0.62, 0.18, 0.83, -4.52, -15.08, 9.46
19556, -0.56, 0.21, 0.86, 12.39, -4.46, 1.04
19659, -0.57, 0.20, 0.86, 2.01, -1.46, 3.60
19763, -0.50, 0.23, 0.82, 2.99, -5.00, -0.18
19867, -0.50, 0.24, 0.75, -0.61, -9.16, 4.33
19971, -0.49, 0.24, 0.70, -1.89, -4.33, 7.02
20075, -0.22, 0.21, 0.82, -10.25, -30.09, -0.98
20179, -0.48, 0.18, 0.83, 5.80, -5.49, -0.92
20282, -0.48, 0.21, 0.85, 1.53, -6.59, -4.27
20386, -0.45, 0.16, 0.86, -2.69, -7.45, -4.27
20490, -0.45, 0.16, 0.86, 2.87, -3.48, -1.16
20594, -0.45, 0.18, 0.86, 3.97, -2.75, -0.43
20698, -0.45, 0.18, 0.85, 2.69, -3.42, -0.67
20802, -0.45, 0.18, 0.85, 2.87, -3.30, -0.67
20905, -0.45, 0.18, 0.86, 2.62, -3.36, -0.79
21009, -0.45, 0.18, 0.85, 2.87, -3.36, -0.61
21113, -0.45, 0.18, 0.86, 2.62, -3.60, -0.79
21217, -0.45, 0.18, 0.86, 2.50, -3.66, -0.85
21321, -0.45, 0.18, 0.86, 2.50, -3.85, -0.85
21424, -0.45, 0.17, 0.86, 2.50, -3.66, -0.85
21528, -0.45, 0.18, 0.85, 2.62, -3.60, -0.79
21632, -0.46, 0.18, 0.86, 2.62, -3.60, -0.67
21736, -0.45, 0.18, 0.86, 2.75, -3.60, -0.55
21840, -0.45, 0.18, 0.85, 2.87, -3.54, -0.61
21944, -0.45, 0.17, 0.86, 2.62, -3.60, -0.73
22047, -0.46, 0.18, 0.85, 2.62, -3.42, -0.67
22151, -0.46, 0.17, 0.86, 3.78, -2.26, 0.24
22255, -0.45, 0.18, 0.86, 4.82, -0.61, 0.67
22359, -0.46, 0.18, 0.86, 8.12, 4.76, 2.38
22463, -0.51, 0.26, 0.88, 11.05, 36.38, 0.18
22566, -0.74, 0.14, 0.96, 9.95, 24.66, -16.54
22670, -0.67, 0.29, 0.87, 3.23, 19.78, -24.78
22774, -0.69, 0.19, 0.79, -4.70, 8.85, -15.56
22878, -0.70, 0.23, 0.70, -0.61, 1.89, -10.86
22982, -0.72, 0.16, 0.66, 4.94, -3.17, -1.53
23086, -0.65, 0.12, 0.62, 8.42, -2.99, -2.01
23189, -0.61, 0.06, 0.57, 1.53, 0.06, 3.54
23293, -0.64, 0.04, 0.58, -7.14, 3.36, 6.53
23397, -0.56, 0.17, 0.59, 0.61, -1.22, -1.28
23501, -0.59, 0.17, 0.62, 3.48, -3.66, 3.66
23605, -0.68, 0.19, 0.64, 7.32, -6.29, -1.22
23708, -0.64, 0.09, 0.65, 2.20, -0.85, 0.79
23812, -0.70, 0.21, 0.71, 4.58, -1.77, -5.00
23916, -0.74, 0.16, 0.65, -1.77, -1.34, 2.38
24020, -0.59, 0.13, 0.61, 16.05, -1.59, -10.01
24124, -0.65, 0.17, 0.64, 4.21, -2.26, 6.84
24227, -0.73, 0.14, 0.63, 10.19, -4.27, -2.01
24331, -0.67, 0.10, 0.61, 4.21, 2.69, -2.69
24435, -0.63, 0.15, 0.63, 10.01, 0.98, -5.62
24539, -0.67, 0.15, 0.73, 4.82, -8.91, 1.77
24643, -0.63, 0.12, 0.66, 0.24, -19.10, 5.13
24747, -0.74, 0.19, 0.72, -1.04, -21.30, 9.77
24850, -0.69, 0.13, 0.78, 6.23, -16.97, 5.49
24954, -0.66, 0.26, 0.78, -11.11, -16.17, 9.95
25058, -0.54, 0.21, 0.76, -1.04, -15.75, 3.17
25162, -0.48, 0.25, 0.73, 8.42, -17.76, 5.98
25266, -0.56, 0.17, 0.69, 7.14, 1.04, 15.69
25370, -0.56, 0.66, -0.34, -24.17, -173.16, -21.91
25473, -0.53, 0.11, 0.84, 0.85, -1.16, -7.08
25577, -0.46, 0.18, 0.85, -4.09, -10.93, -4.64
25681, -0.46, 0.18, 0.85, 1.83, -4.70, -1.16
25785, -0.45, 0.17, 0.85, 2.99, -3.60, -0.43
25889, -0.46, 0.18, 0.86, 2.38, -3.97, -0.92
25993, -0.45, 0.18, 0.85, 1.83, -4.03, -1.34
26096, -0.46, 0.18, 0.86, 2.87, -3.23, -0.67
26200, -0.45, 0.18, 0.85, 2.75, -3.42, -0.37
26304, -0.45, 0.18, 0.86, 2.87, -3.30, -0.43
26408, -0.45, 0.18, 0.86, 2.62, -3.48, -0.67
26512, -0.46, 0.18, 0.86, 2.38, -3.78, -0.73
26616, -0.46, 0.18, 0.86, 2.62, -3.66, -0.37
26719, -0.45, 0.18, 0.86, 2.44, -3.78, -0.55
26823, -0.45, 0.18, 0.86, 2.50, -3.72, -0.61
26927, -0.45, 0.18, 0.85, 2.56, -3.60, -0.61
27031, -0.45, 0.18, 0.86, 1.46, -4.52, -0.49
27135, -0.45, 0.18, 0.86, 2.69, -3.48, -0.24
27238, -0.46, 0.18, 0.86, 1.77, -4.21, -0.85
27342, -0.45, 0.18, 0.86, 3.78, -3.05, 0.00
27446, -0.45, 0.18, 0.86, 1.71, -4.15, -1.16
27550, -0.45, 0.17, 0.86, 2.99, -2.93, -0.12
27654, -0.46, 0.18, 0.86, 3.42, -2.38, 0.92
27758, -0.45, 0.17, 0.86, 1.71, -4.15, -0.43
27861, -0.44, 0.17, 0.86, 2.44, -3.66, -0.55
