time,aX,aY,aZ,gX,gY,gZ
15520, -0.50, 0.14, 0.82, 0.31, 0.55, -2.44
15624, -0.50, 0.15, 0.85, 1.34, -0.98, -2.87
15728, -0.48, 0.14, 0.86, -0.37, -3.66, -0.55
15832, -0.46, 0.11, 0.84, 0.85, -5.43, 0.43
15936, -0.43, 0.15, 0.87, 2.99, -7.57, -2.99
16040, -0.46, 0.14, 0.87, -0.61, -12.02, 6.71
16144, -0.46, 0.12, 0.82, -0.24, -8.79, 6.16
16248, -0.55, 0.18, 0.90, 1.40, 2.38, 6.90
16352, -0.45, 0.18, 0.86, 5.43, -12.57, -2.01
16456, -0.46, 0.17, 0.90, 2.44, -10.74, 8.06
16560, -0.42, 0.14, 0.91, 5.07, -12.02, 1.16
16664, -0.41, 0.14, 0.89, 1.28, -14.59, 5.43
16768, -0.43, 0.14, 0.87, -0.92, -9.52, 3.17
16872, -0.43, 0.15, 0.89, 1.40, -10.01, 0.18
16976, -0.40, 0.14, 0.87, 4.46, -7.39, -2.81
17080, -0.46, 0.15, 0.88, 11.54, 7.81, -4.39
17184, -0.46, 0.16, 0.82, 4.76, 3.48, -3.72
17288, -0.46, 0.17, 0.96, 12.45, 1.28, -8.06
17392, -0.45, 0.22, 0.92, 2.20, -1.65, -2.62
17495, -0.43, 0.17, 0.89, 3.85, -2.32, -0.92
17600, -0.44, 0.12, 0.86, 1.77, -0.85, 0.79
17704, -0.45, 0.16, 0.84, -0.06, -1.10, -1.22
17808, -0.43, 0.16, 0.88, 2.26, -1.53, -3.48
17912, -0.43, 0.18, 0.87, -0.24, -2.20, 0.55
18015, -0.43, 0.17, 0.87, 3.85, -4.09, -1.53
18119, -0.47, 0.18, 0.85, 1.89, -4.58, 0.31
18223, -0.48, 0.15, 0.85, -2.62, -1.77, 4.09
18327, -0.49, 0.14, 0.85, 0.92, -4.88, -0.73
18431, -0.45, 0.15, 0.83, 3.42, -5.31, -1.10
18535, -0.52, 0.13, 0.79, -0.61, -2.08, 1.10
18639, -0.45, 0.13, 0.87, 2.14, 4.46, -8.36
18743, -0.46, 0.16, 0.87, 0.24, 4.76, 2.38
18847, -0.51, 0.10, 0.81, -0.55, 4.46, -1.59
18951, -0.52, 0.17, 0.88, 7.08, 2.01, -3.48
19055, -0.50, 0.08, 0.81, 3.23, 2.69, 4.39
19159, -0.53, 0.15, 0.83, 3.60, 0.18, -11.72
19263, -0.44, 0.15, 0.81, 4.70, -2.01, -10.07
19367, -0.43, 0.19, 0.83, 7.08, -11.78, -5.74
19471, -0.47, 0.18, 0.87, 9.16, -5.74, -2.87
19575, -0.51, 0.18, 0.84, 2.62, -5.86, 2.08
19679, -0.50, 0.13, 0.82, 3.66, -3.97, -0.79
19783, -0.51, 0.17, 0.83, 2.50, -6.96, -2.14
19887, -0.51, 0.16, 0.83, 2.44, -3.42, -1.16
19991, -0.50, 0.15, 0.83, 0.98, -3.48, 0.24
20095, -0.51, 0.15, 0.84, 1.59, -4.39, -0.49
20199, -0.49, 0.14, 0.83, 1.53, -4.58, -0.43
20303, -0.50, 0.14, 0.84, 2.93, -4.58, -0.92
20407, -0.49, 0.16, 0.84, 2.81, -4.64, -0.98
20511, -0.51, 0.14, 0.82, 1.46, -3.91, 0.43
20615, -0.49, 0.16, 0.84, 3.36, -4.03, -1.65
20719, -0.49, 0.14, 0.84, 3.30, -4.94, -1.34
20822, -0.50, 0.15, 0.84, 2.26, -4.52, -0.67
20927, -0.49, 0.15, 0.85, 2.62, -4.03, -1.46
21031, -0.46, 0.14, 0.87, 3.23, -5.00, -2.32
21134, -0.44, 0.16, 0.89, 3.30, -7.26, -2.75
21238, -0.43, 0.16, 0.87, 1.95, -9.77, 0.43
21342, -0.44, 0.15, 0.86, 2.75, -9.77, 2.01
21446, -0.43, 0.14, 0.90, 5.31, -8.06, 0.31
21550, -0.38, 0.17, 0.79, -1.04, -5.43, -6.96
