relative_time,AccX,AccY,AccZ,LinearAccelerometerSensor
0,1.0534487962722778,7.0772600173950195,7.067683219909668,0.43321847570273453
84,0.871489405632019,6.349422931671143,6.828263282775879,0.2745448306594121
93,,,,2.8973085410293096
108,,,,1.2065191077447595
113,1.3120225667953491,4.912901878356934,6.339846134185791,
128,,,,2.6762846313117388
147,,,,2.1516401245032393
169,,,,1.5810651678688699
180,-0.6799532771110535,5.219359874725342,7.920019149780273,
188,,,,1.899326822586835
208,,,,2.76814818719871
227,,,,2.79978356887309
245,,,9.14585018157959,
246,1.7525556087493896,4.041412353515625,,
248,,,,1.0563367593560635
278,,,,0.7921563482837148
288,,,,1.4114387998836349
307,,,,2.9821014531951184
311,0.43095630407333374,2.5665841102600098,11.109095573425293,
327,,,,4.057808852460336
349,,,,1.722761293698909
368,,,,0.7048306440294722
376,,,7.575253963470459,
377,1.6663644313812256,4.501099109649658,,
387,,,,1.4901707786898972
407,,,,1.5802030572905836
427,,,,2.911944153753234
442,,,8.370129585266113,
443,3.1507694721221924,6.1770405769348145,,
451,,,,2.3230721346115457
467,,,,5.776157755211152
488,,,,4.8767493606060865
507,,,,4.504593941427844
509,6.550535678863525,6.244078159332275,3.428496837615967,
528,,,,6.612113078863351
549,,,,4.214396625380154
578,0.5554547905921936,5.861005783081055,9.96945571899414,4.8185606606340405
588,,,,3.166215329046288
618,,,,0.9558269786762054
628,,,,2.0511855535245447
641,5.382165431976318,4.568136692047119,7.230489253997803,
661,,,,1.2716414534759495
670,,,,3.4561416084718024
688,,,,4.895685374952862
707,7.603984832763672,5.008669853210449,9.337387084960938,
708,,,,3.7174121149034915
727,,,,1.2440611426147936
749,,,,3.242457072989282
769,,,,2.5920476267524535
773,2.030282974243164,6.751648902893066,5.918466567993164,
788,,,,1.7152326486118832
807,,,,2.8923059473250974
828,,,,2.027154638036692
839,3.3901896476745605,7.249642848968506,7.2113356590271,
848,,,,1.926719823695759
868,,,,2.084718040593705
888,,,,1.4620202280150723
905,,,3.9647979736328125,
906,2.0685901641845703,4.2329487800598145,,
910,,,,3.9097069664148005
952,,,,3.81871651542705
971,1.742978811264038,11.118672370910645,3.8594532012939453,4.054577658751245
993,,,,2.9518171371226134
1008,,,,2.4331693080157257
1031,,,,2.740297976113964
1039,,,7.795520782470703,
1040,3.993528366088867,7.316680431365967,,
1049,,,,2.154149787979358
1072,,,,2.2932091348122454
1088,,,,1.2758155570524548
1103,2.346317768096924,8.245630264282227,4.750096321105957,
1107,,,,1.8623060317452214
1129,,,,1.313820401817932
1148,,,,1.9462994136429772
1168,,,,3.7456227504673185
1169,-0.5363011956214905,3.7924153804779053,7.508216381072998,
1188,,,,4.803368562617265
1210,,,,4.006241696924898
1232,,,,2.783313285922951
1235,1.5897499322891235,4.683058738708496,8.78193187713623,
1247,,,,1.904888292076125
1271,,,,2.1019366190144755
1288,,,,2.054909697727423
1310,,,5.592854976654053,
1311,0.7565677165985107,7.728483200073242,,1.8112366318192916
1334,,,,3.698247216006946
1348,,,,3.7652785272400915
1367,2.7006595134735107,8.734047889709473,5.688623428344727,
1368,,,,2.644499695447362
1388,,,,1.444265450285179
1408,,,,7.527228710362498
1432,,,,3.1669021485427717
1433,0.4118026793003082,3.8786067962646484,5.430049419403076,
1448,,,,2.9482062818697985
1468,,,,2.918663830679812
1488,,,,3.225517343824854
1499,0.8427590131759644,7.4316020011901855,4.616020679473877,
1510,,,,1.444211138117416
1534,,,,2.1052786152046337
1549,,,,3.348777485300737
1566,0.24899697303771973,7.086836814880371,5.774814605712891,
1568,,,,1.3863445798016136
1588,,,,2.9273465582348255
1630,,,,2.3162731627753894
1631,-0.9959878921508789,6.224924564361572,5.57370138168335,
1658,,,,1.5733424319930918
1668,,,,2.779510725724973
1692,,,,1.015741781709902
1697,3.112462282180786,9.481039047241211,5.65031623840332,
1714,,,,4.526509297762404
1734,,,,2.7177565063870297
1747,,,,2.2525179866703477
1776,-0.4213795065879822,7.364564418792725,7.46033239364624,2.2137212583204318
1788,,,,2.1763629238535707
1817,,,,0.7715169779008956
1834,,,,2.774220186929806
1835,2.7006595134735107,8.772355079650879,2.9496564865112305,
1848,,,,0.992987603009335
1878,,,,0.9731038607124732
1888,,,,2.547614616234002
1898,0.10534487664699554,7.374141216278076,5.870582580566406,
